gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000141956	PRDM15	2541.34245394833	2225.33041582213	2566.97657519003	2749.25340743521	2664.83143048004	2560.2811504295
ENSG00000141959	PFKL	2278.92200547791	2328.97011356911	1982.99974979494	2431.11768530061	590.960434780575	2677.08997628596
ENSG00000142149	HUNK	1557.87833425647	1141.0688286222	1080.65720419188	1423.45949262205	1368.22668607045	2361.34090209712
ENSG00000142156	COL6A1	941.573259602113	1354.10496641437	1256.78137048925	1216.42338421067	953.47319453124	1274.48315000646
ENSG00000142166	IFNAR1	447.169299354127	250.819529178033	570.385919442823	653.540986877776	375.852235053097	305.746148863263
ENSG00000142168	SOD1	703.618196805975	597.97692666382	815.7626566442	763.920839188217	703.351014933599	794.552963032132
ENSG00000142173	COL6A2	1109.52898365347	1256.85265710892	1427.07967554396	1436.1175326192	1218.5354501232	1212.07961122407
ENSG00000142178	SIK1	504.686530976185	430.743249775743	517.550734692423	537.24755945767	334.594603080058	455.336137296424
ENSG00000142182	DNMT3L	944.510949428942	938.458279765332	946.565326899616	782.178375460095	790.947150897747	789.347662494466
ENSG00000142185	TRPM2	3078.50153195655	3231.81303748767	3534.81001491048	3333.10112902056	3110.72223894003	3299.04722958414
ENSG00000142188	TMEM50B	510.135119724075	817.360824452562	589.117977914579	798.415044115323	484.872514614124	736.775593974924
ENSG00000142192	APP	1295.19408134918	1247.16646882526	1176.92118945196	1100.09898611249	1224.23891719055	1175.07392036747
ENSG00000142197	DOP1B	2010.65474625629	2334.57645151935	2405.08897191746	1612.08668872755	1952.0781496887	1346.51143649052
ENSG00000142207	URB1	2853.70242866984	3678.27725861846	2331.45882417771	3345.32656209934	2263.76306378863	2202.34410854688
ENSG00000154639	CXADR	916.110221206679	484.115204871828	444.591073065439	324.435777672718	1145.82266707925	470.408125412088
ENSG00000154640	BTG3	556.915378081835	374.412151591386	572.155430580244	513.097653676352	551.057467039557	453.631397390577
ENSG00000154642	C21orf91	1253.92878115569	1616.44687152979	1161.24307708732	1240.52422862843	1347.91709356695	972.45449305334
ENSG00000154645	CHODL	1918.79477261741	1927.09915980577	1881.08445234685	1930.04544436165	1886.67916866686	1883.87872233759
ENSG00000154646	TMPRSS15	1162.94509569181	803.366484641691	1075.98847577192	1105.62431615098	1054.99861852177	584.101198578879
ENSG00000154654	NCAM2	2019.31560828714	1108.8752107698	1339.47682293684	1140.23055672836	1970.09081387529	1220.87983640775
ENSG00000154719	MRPL39	804.996854671175	830.295827574785	812.051197294448	730.273702670819	860.929853240899	888.241757359109
ENSG00000154721	JAM2	851.737857267762	1180.8764470135	1205.25256885182	944.117573813505	949.324249359994	1062.17459384129
ENSG00000154723	ATP5PF	455.834128780682	477.293909281774	414.455017774972	463.718300154244	457.295714848943	442.643637364413
ENSG00000154727	GABPA	2650.98928409306	3450.12639554991	2899.57507675586	3124.11835603842	2606.44386004413	3019.08310165729
ENSG00000154734	ADAMTS1	1760.58940280333	1250.35916293058	1024.8914058263	1914.89656678725	1294.43932314391	1091.76682961778
ENSG00000154736	ADAMTS5	8806.022	8806.098	8806.037	8806.128	8806.043	8805.982
ENSG00000155304	HSPA13	1378.07547957385	1487.68718952096	1734.50162666002	1663.78877537839	1305.91357070139	1203.12530880143
ENSG00000155307	SAMSN1	316.267559040726	387.049991223463	382.660929401514	370.858616747942	440.724273194037	508.13534771044
ENSG00000155313	USP25	1702.48224402341	1553.88299514782	1660.04904015066	1732.29842422642	1544.25757169935	1817.95383468259
ENSG00000156239	N6AMT1	3814.15525391931	3630.87142522756	3625.57583821851	3009.85685741899	3118.01541400641	3126.0466926041
ENSG00000156253	RWDD2B	1163.23105777886	1167.62554031201	1030.0917432239	972.1653240341	1062.41586471012	1361.86047268494
ENSG00000156256	USP16	2289.03789105859	2325.17160912389	2371.60621437848	2465.04318848841	2002.26927206358	2134.48848176465
ENSG00000156261	CCT8	697.897056154127	768.757173057632	848.922282636846	652.937493402464	666.78413847692	676.550067875067
ENSG00000156265	MAP3K7CL	1039.63233989822	951.617993848684	967.351835629398	1018.58822860498	892.306694588141	979.204395082406
ENSG00000156273	BACH1	410.49969093528	354.808337570888	611.852358658179	342.029152224822	321.583934586914	353.076009502516
ENSG00000156282	CLDN17	943.022	943.098	943.037	943.128	943.043	942.982
ENSG00000156284	CLDN8	1818.022	1818.098	1818.037	1818.128	1818.043	1817.982
ENSG00000156299	TIAM1	2780.4827656179	3210.87608936521	2736.32256270462	2596.70782595221	2213.02170772997	2153.03921162283
ENSG00000156304	SCAF4	2341.7156493591	2367.35527413525	2739.97972727073	2639.95529716552	2613.56475299992	2376.12440503958
ENSG00000157538	VPS26C	961.194192719212	846.064469255579	1153.28566320883	867.074407777551	773.114793874869	720.418264799345
ENSG00000157540	DYRK1A	2543.75035439865	2889.34959603102	2368.42308437294	2657.83648790328	2399.6020066294	2561.27774369312
ENSG00000157542	KCNJ6	13138.6507491908	14632.8745660329	9489.97472418927	9810.17582954416	12117.4344792034	6551.61406504923
ENSG00000157551	KCNJ15	816.499563507218	762.625349592928	979.472342174902	726.161480629231	956.416748327748	978.955761406364
ENSG00000157554	ERG	2631.22976020114	2438.28342004419	2568.34412379504	2414.32548155867	2744.92214274212	2565.38498809653
ENSG00000157557	ETS2	2228.97414144765	1741.55291025862	2390.40204967236	1609.01297767621	2311.36850261562	2481.29458183923
ENSG00000157578	LCA5L	725.08078593273	754.40981413679	728.370537949721	727.776433997465	824.669498430172	755.249803343453
ENSG00000157601	MX1	746.46386297533	788.670780168628	719.90849883182	768.022570447943	720.038327663784	811.356162857154
ENSG00000157617	C2CD2	2238.04317190676	1960.2385265131	2456.55085564664	2641.89798916681	2535.56989135207	2216.54732394117
ENSG00000159055	MIS18A	398.359879760052	449.877270415145	410.154366854193	634.717116302006	555.372359150575	295.075583574097
ENSG00000159079	CFAP298	942.280634770021	977.830353061307	1017.86558478247	1006.52502709031	940.182574299423	961.438065021455
ENSG00000159082	SYNJ1	2801.11187759533	2103.36240371912	2852.91697910716	2996.50686602152	2590.31011440501	2767.38531814842
ENSG00000159086	PAXBP1	1406.02683658308	1529.50990794007	1264.81378884743	1692.84847003071	1408.58265441331	1561.96427292809
ENSG00000159110	IFNAR2	1028.929606669	1154.31058935874	1045.18784689613	1062.66565221615	1241.44102183605	1310.3963586238
ENSG00000159128	IFNGR2	1057.74614512303	1019.07088574389	979.4509992975	1027.23354322742	997.599658324038	946.042756371282
ENSG00000159131	GART	916.091209782745	941.732708917761	855.623289001738	1029.18670217464	1025.8163011497	944.127901172586
ENSG00000159140	SON	1668.02310530086	1180.18908556919	1721.28028663193	1551.51851836084	1618.56633842692	1661.88324743676
ENSG00000159147	DONSON	1028.51818352272	1038.61448894678	1125.04535802318	1091.87014335367	1018.88180642258	1003.88329483009
ENSG00000159197	KCNE2	801.022	801.098	801.037	801.128	801.043	800.982
ENSG00000159200	RCAN1	1246.47350836466	1267.12505050625	1120.98325419728	1459.41495590662	1556.98150310221	1596.8554059876
ENSG00000159212	CLIC6	3577.77096473451	3589.59840913436	3577.63996915934	3578.47227544494	3587.45326425683	3594.10910269815
ENSG00000159216	RUNX1	1005.71173782396	863.064799785883	788.646743732954	687.052368962879	780.617180022736	740.353489033018
ENSG00000159228	CBR1	813.226495632914	790.679972503363	785.521766064258	748.349955538911	818.90577957202	765.180748251306
ENSG00000159231	CBR3	919.022	919.098	919.037	919.128	919.043	918.982
ENSG00000159256	MORC3	890.593801096197	863.878384187198	718.785804644911	755.563951771683	1035.20608492669	1000.33246389451
ENSG00000159259	CHAF1B	1686.58402288166	1124.10698273177	1982.15263372386	1192.68363242492	1316.07523228953	1574.33195931265
ENSG00000159261	CLDN14	1016.00872669269	1057.19073450084	1026.20812950841	1041.0207260947	1136.93003336468	1045.40898250198
ENSG00000159263	SIM2	2260.4630972543	1806.21413215587	1732.94436430983	2123.87078815069	2272.96404563572	1775.64593652674
ENSG00000159267	HLCS	1962.97369505162	2214.94620855393	2241.68519610865	2038.2840569946	2687.2924931635	2261.98386052268
ENSG00000160179	ABCG1	2355.62828986593	2260.33160683176	2199.34155583203	2279.07656738525	2476.8622074689	2332.39516897868
ENSG00000160180	TFF3	285.876080746923	241.114641968888	286.081946652977	374.607142046057	267.040696993076	279.58532952973
ENSG00000160181	TFF2	378.080802909326	406.677222612884	384.83838313038	376.105446434364	363.531163455824	401.176217159979
ENSG00000160182	TFF1	301.023	301.098	301.037	301.129	301.043	300.983
ENSG00000160183	TMPRSS3	1719.03009512378	1739.90996476371	1694.65027112449	2061.66999485794	1776.37067547337	1744.40740021201
ENSG00000160185	UBASH3A	1250.85079033156	1151.99744000725	1060.37348339717	1254.67929631264	1278.96583256441	1103.29291989175
ENSG00000160188	RSPH1	1324.76786913952	1344.53021467079	1447.8807667788	1397.70675264274	1626.69097260208	1443.14930619544
ENSG00000160190	SLC37A1	816.586078359633	745.0411590578	761.113800006603	891.512937127205	763.646286991335	649.886710763923
ENSG00000160191	PDE9A	1183.91190408685	1243.30310636286	1285.70620620172	1310.49670455382	1253.66049813009	1114.47075075775
ENSG00000160193	WDR4	1152.92822327315	1081.65088401378	990.60451267696	1030.78503718031	1089.09901670899	1177.88488092266
ENSG00000160194	NDUFV3	1576.14674360179	1610.99934101197	1721.46695485535	1838.67394441603	1709.99622150796	2139.05851759405
ENSG00000160199	PKNOX1	1115.28013220018	1131.55676881584	1060.35195342304	813.10352633848	1091.02384771529	934.894371548338
ENSG00000160200	CBS	1104.96690650005	844.743924648254	1040.81874866593	1154.10445897723	916.283634218544	910.610468955859
ENSG00000160201	U2AF1	1571.33775530308	1535.56635502048	1177.91268825558	1470.68651094663	1275.23233361115	1543.26669775036
ENSG00000160202	CRYAA	634.489490697728	658.408274984613	642.720337622955	642.462055429826	578.248684396692	723.120680989445
ENSG00000160207	HSF2BP	964.526336188309	1057.71034069821	1121.9028316948	992.942610930252	1138.80796345374	1194.70922376878
ENSG00000160208	RRP1B	4524.58588879722	4541.3495498237	4617.98675578206	4686.39854818177	4549.77216847249	4614.29865008844
ENSG00000160209	PDXK	1161.94400887072	1331.03524116672	1692.84728669693	1441.66630393871	1340.26316414368	1163.31250914778
ENSG00000160213	CSTB	2210.63818941962	2213.94631014905	2239.98936312742	2074.70750767827	2140.54754905917	2370.27383981652
ENSG00000160214	RRP1	1202.5828759361	1401.6313387271	1258.77547486125	1292.24489170684	1151.2131386367	1356.32511391307
ENSG00000160216	AGPAT3	1195.27475707719	1633.85003000975	1193.13279628637	1154.61155431156	1543.80318174018	1202.37462828324
ENSG00000160218	TRAPPC10	1377.17083311662	1253.74484239684	1558.5520084863	1566.60160136986	1124.63411869059	1472.37128607649
ENSG00000160221	GATD3A	823.435386661195	834.896580509516	852.251900886377	794.010708996133	749.365391601577	709.903347366524
ENSG00000160223	ICOSLG	2698.01358504656	2720.92140814258	3196.17397895163	2846.361591277	2604.85737578009	3280.48657990653
ENSG00000160224	AIRE	2051.84991417215	1917.42337487951	2079.62705637644	2047.28049932946	1809.40166431871	1814.00342831518
ENSG00000160226	CFAP410	1572.44749924821	1486.94227012726	1249.05947428098	1435.03587368792	1306.75574523811	1409.05786758867
ENSG00000160233	LRRC3	5619.022	5619.098	5619.037	5619.128	5619.043	5618.982
ENSG00000160255	ITGB2	945.610616387914	927.52077813881	895.299653251437	922.898386482049	946.619652830834	924.547999958865
ENSG00000160256	FAM207A	464.884543542188	479.042407807077	432.794810920634	441.11524459029	501.224561924303	473.160108463435
ENSG00000160282	FTCD	807.857792018219	644.725862267433	537.453445633645	583.20094091502	652.457797588225	517.704730629938
ENSG00000160284	SPATC1L	1361.20322800285	1392.16013772865	1394.16416331391	1686.69696127995	1341.70166883061	1530.81091793064
ENSG00000160285	LSS	1120.64358975349	1013.80090187542	624.012741154462	900.493495554416	1065.50849721791	912.407940638548
ENSG00000160294	MCM3AP	785.949327927127	975.47059873433	578.864053680609	701.757103077496	674.301495789938	1128.14525225549
ENSG00000160298	C21orf58	1616.65441945972	1675.44608717984	1646.63058917956	1723.26199051071	1789.30987821457	1658.19836949916
ENSG00000160299	PCNT	2712.28872879209	2127.28208512227	2392.53736732533	3335.08339372592	3667.63032063689	1669.12913863623
ENSG00000160305	DIP2A	3293.68365920902	3267.98444755921	2824.64500480546	2641.49852737774	2824.52879371112	3127.2917355058
ENSG00000160307	S100B	658.446500448242	676.545300815477	631.554732656033	646.59242216993	651.007876188283	640.235007993742
ENSG00000160310	PRMT2	1254.37927649443	1341.65495906804	1235.44954352163	1181.60846517939	1231.91204366921	1274.20210342115
ENSG00000166265	CYYR1	1509.78990258822	1462.32414911068	1650.97890940266	1568.34024625892	1527.38314684132	1691.14590482839
ENSG00000166351	POTED	1655.48443782463	1662.60278267087	1653.64191855602	1662.16624454928	1655.10933621794	1682.35773588784
ENSG00000166979	EVA1C	980.775334138906	818.661243276294	837.66794762635	862.075152375748	896.071789018477	920.247429557614
ENSG00000170262	MRAP	386.088682838037	527.661942247608	562.697174896309	521.534340754305	542.026543764895	563.345520347347
ENSG00000171189	GRIK1	2835.12283373895	2911.11853917262	2806.31443003798	2710.25088435004	2795.12981628995	2730.05250948962
ENSG00000171587	DSCAM	6503.95312018886	6371.00455548101	5849.77370369096	6149.03238554461	6202.22363487664	6407.55703717844
ENSG00000173276	ZBTB21	3097.74093189735	2578.19143094083	2902.56151021822	3133.47524402768	2629.98806163473	2116.76727246674
ENSG00000173638	SLC19A1	986.061987955246	1096.69981260142	1060.51535855445	1266.86519342389	1169.5367661264	1188.43265503666
